,Number of Visits,ProductTyp
CAFM Ticketsystem Basic,1,CAFM Ticketsystem Basic
CRM,2,CRM
Preisdatenbank,3,Preisdatenbank
Dienste für den Betrieb,3,Dienste für den Betrieb
Model Viewer Basic,3,Model Viewer Basic
Laser Scanning,4,Laser Scanning
Brandschutz,4,Brandschutz
Gerüstbauplanung,4,Gerüstbauplanung
Digitales Aufmaß,5,Digitales Aufmaß
Datenkonverter-Service,6,Datenkonverter-Service
GIS-Daten,7,GIS-Daten
Datenkonverter,7,Datenkonverter
BIM Modellierung Hochbau Basic,8,BIM Modellierung Hochbau Basic
Schalungsplanung,8,Schalungsplanung
GIS,10,GIS
Modellprüfregeln,11,Modellprüfregeln
Mengenermittlung Basic,12,Mengenermittlung Basic
CAFM Mängelmanagement,13,CAFM Mängelmanagement
BIM Modellierung Verkehrswege Basic,14,BIM Modellierung Verkehrswege Basic
Musterdokumente,16,Musterdokumente
Rendering,17,Rendering
Bauausführung Basic,18,Bauausführung Basic
Digitale Bauakte,19,Digitale Bauakte
CAFM Ticketsystem,20,CAFM Ticketsystem
IoT,20,IoT
Mengenermittlung Modellbasiert Basic,23,Mengenermittlung Modellbasiert Basic
Leitfäden,23,Leitfäden
Modellprüfung,23,Modellprüfung
Mengenermittlung,25,Mengenermittlung
Tragwerksplanung,25,Tragwerksplanung
BCF-Server,27,BCF-Server
Terminplanung,28,Terminplanung
Umweltdaten,29,Umweltdaten
Bauproduktkataloge,31,Bauproduktkataloge
ERP,32,ERP
BIM-Bibliotheken,33,BIM-Bibliotheken
BIM Modellierung Verkehrswege,37,BIM Modellierung Verkehrswege
BIM Collaboration Basic,40,BIM Collaboration Basic
CAD,42,CAD
Kostenplanung,44,Kostenplanung
Model Viewer,46,Model Viewer
Mengenermittlung Modellbasiert,47,Mengenermittlung Modellbasiert
TGA-Planung,49,TGA-Planung
Baudaten,53,Baudaten
CAFM,56,CAFM
BIM Modellierung Hochbau,56,BIM Modellierung Hochbau
BIM-Standards,57,BIM-Standards
BAP Editor,60,BAP Editor
Kollisionsprüfung,61,Kollisionsprüfung
Baulogistik,65,Baulogistik
Augmented Reality,70,Augmented Reality
BIM Collaboration,73,BIM Collaboration
Bauausführung,85,Bauausführung
CDE Basic,106,CDE Basic
AIA Editor,112,AIA Editor
AVA Basic,175,AVA Basic
CDE,225,CDE
AVA,588,AVA
